block_week,address,transfer_amount
2022-12-26/2023-01-01,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,1.9337205780740202e+17
2023-01-02/2023-01-08,0x0027449bf0887ca3e431d263ffdefb244d95b555,1.157920892373162e+59
2023-01-09/2023-01-15,0x0027449bf0887ca3e431d263ffdefb244d95b555,1.157920892373162e+59
2023-01-16/2023-01-22,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2.7038958254071182e+20
2023-01-23/2023-01-29,0xa07e0f4e4a6121a5ef137e77331f5a6412d8fc0e,1.000000000006e+30
2023-01-30/2023-02-05,0x27228d736935e00ffce7161782c54caa4be2a375,1.967985762386962e+70
2023-02-06/2023-02-12,0x9a2e92f57eb9aedf260d091c314a7f52ef0461a1,3.08640295987107e+58
2023-02-13/2023-02-19,0x3c6ff50c9ec362efa359317009428d52115fe643,2e+25
2023-02-20/2023-02-26,0xa918897bd10d6dee614470c24a061b78b021b3a9,7.278375446683398e+17
2023-02-27/2023-03-05,0x161cddfb1fb7921a01d45c147f44670bb060ace5,6.8741496111906194e+22
2023-03-06/2023-03-12,0x45315c42f3a72cb4f6a6c9994fde3cc34ddfa84e,2.5123668688199005e+20
2023-03-13/2023-03-19,0xed5adb312992099df874fd8a840f54969ed00c86,1e+49
2023-03-20/2023-03-26,0xddb3422497e61e13543bea06989c0789117555c5,6.274531648368804e+30
2023-03-27/2023-04-02,0x0027449bf0887ca3e431d263ffdefb244d95b555,1.157920892373162e+59
2023-04-03/2023-04-09,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2.343033176978314e+16
2023-04-10/2023-04-16,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,4.39e+19
2023-04-17/2023-04-23,0x3948e1f29d3347e38a4524c914f0e5f3fbf3a13b,6.942e+34
2023-04-24/2023-04-30,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1.5012716685505472e+59
