block_week,address,transfer_count
2022-12-26/2023-01-01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,139665
2023-01-02/2023-01-08,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,196144
2023-01-09/2023-01-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,200300
2023-01-16/2023-01-22,0xdac17f958d2ee523a2206206994597c13d831ec7,213931
2023-01-23/2023-01-29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,203258
2023-01-30/2023-02-05,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,260701
2023-02-06/2023-02-12,0xdac17f958d2ee523a2206206994597c13d831ec7,293550
2023-02-13/2023-02-19,0xdac17f958d2ee523a2206206994597c13d831ec7,406902
2023-02-20/2023-02-26,0xdac17f958d2ee523a2206206994597c13d831ec7,371584
2023-02-27/2023-03-05,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,230818
2023-03-06/2023-03-12,0xdac17f958d2ee523a2206206994597c13d831ec7,262745
2023-03-13/2023-03-19,0xdac17f958d2ee523a2206206994597c13d831ec7,243361
2023-03-20/2023-03-26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,214640
2023-03-27/2023-04-02,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,195844
2023-04-03/2023-04-09,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,197518
2023-04-10/2023-04-16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,197063
2023-04-17/2023-04-23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,396603
2023-04-24/2023-04-30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,358263
